risk_id,shipment_id,weather_score,traffic_score,congestion_score,transport_score,external_event_score,historical_score,shipment_characteristics_score,overall_risk_score,risk_level,sla_breach_probability,expected_delay_minutes,created_at
RISK01000,CURR01000,3.5,6.91,6.89,2.5,1.12,10.0,1,4.7,MEDIUM,0.795,284,2026-07-01T00:00:00
RISK01001,CURR01001,5.96,3.14,1.8,1.0,1.58,10.0,3,3.63,MEDIUM,0.452,134,2026-07-01T00:00:00
RISK01002,CURR01002,7.52,2.9,1.67,1.0,2.02,10.0,1,3.73,MEDIUM,0.513,32,2026-07-01T00:00:00
RISK01003,CURR01003,1.98,5.71,5.36,1.0,3.32,10.0,1,3.91,MEDIUM,0.469,98,2026-07-01T00:00:00
RISK01004,CURR01004,4.67,5.6,2.68,1.0,1.04,10.0,1,3.66,MEDIUM,0.481,71,2026-07-01T00:00:00
RISK01005,CURR01005,1.0,2.58,1.91,1.25,3.41,10.0,1,2.6,LOW,0.403,81,2026-07-01T00:00:00
RISK01006,CURR01006,8.5,6.16,3.05,1.0,1.0,10.0,1,4.58,MEDIUM,0.611,86,2026-07-01T00:00:00
RISK01007,CURR01007,2.19,1.0,4.29,1.0,1.67,10.0,1,2.86,LOW,0.324,22,2026-07-01T00:00:00
RISK01008,CURR01008,2.02,2.23,1.97,1.0,1.0,9.4,1,2.42,LOW,0.277,43,2026-07-01T00:00:00
RISK01009,CURR01009,6.4,6.68,4.12,1.0,1.2,10.0,3,4.68,MEDIUM,0.58,105,2026-07-01T00:00:00
RISK01010,CURR01010,7.7,5.17,5.11,1.0,2.6,10.0,1,4.85,MEDIUM,0.637,135,2026-07-01T00:00:00
RISK01011,CURR01011,1.53,4.87,5.56,1.0,3.5,1.0,1,2.85,LOW,0.395,93,2026-07-01T00:00:00
RISK01012,CURR01012,5.62,3.81,4.83,1.0,1.0,10.0,1,4.01,MEDIUM,0.509,45,2026-07-01T00:00:00
RISK01013,CURR01013,2.49,1.98,5.65,1.0,2.26,10.0,1,3.4,MEDIUM,0.407,65,2026-07-01T00:00:00
RISK01014,CURR01014,8.69,7.01,5.63,1.0,1.85,10.0,1,5.35,HIGH,0.71,129,2026-07-01T00:00:00
RISK01015,CURR01015,1.0,5.24,5.13,1.0,2.43,10.0,1,3.5,MEDIUM,0.398,61,2026-07-01T00:00:00
RISK01016,CURR01016,3.27,7.19,4.2,1.0,1.98,10.0,1,4.02,MEDIUM,0.497,88,2026-07-01T00:00:00
RISK01017,CURR01017,3.31,1.45,1.35,1.0,1.89,10.0,1,2.59,LOW,0.323,64,2026-07-01T00:00:00
RISK01018,CURR01018,2.46,1.0,4.14,1.25,2.37,10.0,1,2.99,LOW,0.463,98,2026-07-01T00:00:00
RISK01019,CURR01019,6.45,1.53,3.54,1.0,3.37,10.0,1,3.81,MEDIUM,0.513,143,2026-07-01T00:00:00
RISK01020,CURR01020,2.32,1.63,3.66,1.0,1.0,10.0,1,2.79,LOW,0.313,37,2026-07-01T00:00:00
RISK01021,CURR01021,2.36,1.23,4.9,1.0,1.42,10.0,1,3.03,MEDIUM,0.352,60,2026-07-01T00:00:00
RISK01022,CURR01022,8.54,7.42,2.26,1.0,3.49,7.9,1,4.66,MEDIUM,0.656,115,2026-07-01T00:00:00
RISK01023,CURR01023,1.0,4.94,1.0,1.0,1.41,10.0,3,2.73,LOW,0.324,74,2026-07-01T00:00:00
RISK01024,CURR01024,1.0,3.27,4.58,1.0,2.9,10.0,1,3.15,MEDIUM,0.361,65,2026-07-01T00:00:00
RISK01025,CURR01025,8.76,5.31,1.0,1.0,1.7,7.67,1,3.94,MEDIUM,0.555,146,2026-07-01T00:00:00
RISK01026,CURR01026,6.8,7.81,4.85,2.5,1.0,7.15,1,4.79,MEDIUM,0.859,212,2026-07-01T00:00:00
RISK01027,CURR01027,1.99,1.0,5.4,1.0,1.86,10.0,1,3.06,MEDIUM,0.345,55,2026-07-01T00:00:00
RISK01028,CURR01028,1.68,1.0,2.46,1.0,1.0,10.0,3,2.53,LOW,0.316,51,2026-07-01T00:00:00
RISK01029,CURR01029,3.45,1.66,3.32,1.0,2.7,10.0,3,3.32,MEDIUM,0.384,61,2026-07-01T00:00:00
RISK01030,CURR01030,1.0,6.56,6.48,1.0,1.0,10.0,1,3.83,MEDIUM,0.42,127,2026-07-01T00:00:00
RISK01031,CURR01031,1.0,5.49,1.0,1.0,1.0,10.0,1,2.57,LOW,0.288,41,2026-07-01T00:00:00
RISK01032,CURR01032,7.85,6.22,1.0,1.0,1.0,8.33,1,3.89,MEDIUM,0.537,110,2026-07-01T00:00:00
RISK01033,CURR01033,5.3,1.0,4.95,1.25,2.63,10.0,3,3.95,MEDIUM,0.594,155,2026-07-01T00:00:00
RISK01034,CURR01034,5.8,3.4,6.12,1.0,1.0,10.0,1,4.24,MEDIUM,0.531,147,2026-07-01T00:00:00
RISK01035,CURR01035,8.99,3.74,5.39,1.0,3.99,10.0,1,5.09,HIGH,0.74,238,2026-07-01T00:00:00
RISK01036,CURR01036,1.0,6.62,2.91,1.0,1.0,10.0,1,3.12,MEDIUM,0.343,55,2026-07-01T00:00:00
RISK01037,CURR01037,1.98,5.8,6.12,1.0,1.0,10.0,1,3.84,MEDIUM,0.446,118,2026-07-01T00:00:00
RISK01038,CURR01038,4.83,3.99,5.79,1.0,1.56,10.0,1,4.13,MEDIUM,0.515,66,2026-07-01T00:00:00
RISK01039,CURR01039,5.89,7.02,1.0,1.0,3.9,10.0,1,4.07,MEDIUM,0.533,41,2026-07-01T00:00:00
RISK01040,CURR01040,1.0,4.47,3.9,1.0,1.0,10.0,1,3.0,LOW,0.319,19,2026-07-01T00:00:00
RISK01041,CURR01041,8.56,4.9,4.55,1.0,1.0,10.0,1,4.71,MEDIUM,0.622,135,2026-07-01T00:00:00
RISK01042,CURR01042,8.48,4.04,1.0,1.0,1.06,9.0,1,3.76,MEDIUM,0.518,56,2026-07-01T00:00:00
RISK01043,CURR01043,8.11,3.77,1.2,1.0,3.5,10.0,1,4.03,MEDIUM,0.637,142,2026-07-01T00:00:00
RISK01044,CURR01044,1.0,5.66,2.29,1.0,3.38,9.2,3,3.21,MEDIUM,0.337,39,2026-07-01T00:00:00
RISK01045,CURR01045,5.44,1.0,1.0,1.0,2.01,10.0,1,2.89,LOW,0.453,115,2026-07-01T00:00:00
RISK01046,CURR01046,8.73,3.55,2.7,2.5,1.0,10.0,1,4.39,MEDIUM,0.82,249,2026-07-01T00:00:00
RISK01047,CURR01047,7.84,1.24,5.3,1.0,2.33,10.0,1,4.3,MEDIUM,0.564,86,2026-07-01T00:00:00
RISK01048,CURR01048,8.32,4.52,1.0,1.0,3.95,10.0,1,4.19,MEDIUM,0.579,161,2026-07-01T00:00:00
RISK01049,CURR01049,4.92,6.27,2.04,1.0,1.0,10.0,1,3.68,MEDIUM,0.475,87,2026-07-01T00:00:00
RISK01050,CURR01050,4.6,6.87,2.0,1.0,3.87,10.0,1,3.99,MEDIUM,0.585,76,2026-07-01T00:00:00
RISK01051,CURR01051,1.9,1.95,1.19,1.0,2.61,10.0,1,2.42,LOW,0.292,32,2026-07-01T00:00:00
RISK01052,CURR01052,4.11,3.82,3.47,1.0,1.0,9.03,1,3.34,MEDIUM,0.41,65,2026-07-01T00:00:00
RISK01053,CURR01053,7.67,5.76,1.0,1.0,1.47,10.0,1,4.0,MEDIUM,0.538,122,2026-07-01T00:00:00
RISK01054,CURR01054,1.0,4.11,2.28,1.0,3.09,10.0,1,2.83,LOW,0.299,47,2026-07-01T00:00:00
RISK01055,CURR01055,3.47,5.05,5.07,2.5,3.88,10.0,1,4.33,MEDIUM,0.787,239,2026-07-01T00:00:00
RISK01056,CURR01056,1.7,1.56,1.0,1.0,1.0,10.0,1,2.12,LOW,0.23,26,2026-07-01T00:00:00
RISK01057,CURR01057,4.86,6.28,1.28,1.0,3.7,5.0,3,3.49,MEDIUM,0.477,64,2026-07-01T00:00:00
RISK01058,CURR01058,3.19,1.0,5.92,1.0,3.96,10.0,1,3.62,MEDIUM,0.421,25,2026-07-01T00:00:00
RISK01059,CURR01059,6.34,4.87,6.45,1.0,1.0,10.0,1,4.64,MEDIUM,0.588,79,2026-07-01T00:00:00
RISK01060,CURR01060,5.58,3.07,3.99,1.0,1.0,10.0,1,3.72,MEDIUM,0.48,43,2026-07-01T00:00:00
RISK01061,CURR01061,1.0,4.44,1.0,1.0,3.22,10.0,1,2.64,LOW,0.312,40,2026-07-01T00:00:00
RISK01062,CURR01062,6.14,1.0,6.91,1.0,3.32,10.0,1,4.34,MEDIUM,0.542,74,2026-07-01T00:00:00
RISK01063,CURR01063,5.52,6.67,3.04,1.0,1.16,10.0,1,4.08,MEDIUM,0.565,77,2026-07-01T00:00:00
RISK01064,CURR01064,7.53,2.79,4.84,1.0,2.5,10.0,1,4.39,MEDIUM,0.577,40,2026-07-01T00:00:00
RISK01065,CURR01065,2.85,7.72,1.0,1.0,2.06,10.0,1,3.38,MEDIUM,0.415,71,2026-07-01T00:00:00
RISK01066,CURR01066,2.72,4.09,4.11,1.0,2.49,10.0,1,3.48,MEDIUM,0.477,75,2026-07-01T00:00:00
RISK01067,CURR01067,1.9,1.0,4.74,1.0,1.19,10.0,1,2.85,LOW,0.308,61,2026-07-01T00:00:00
RISK01068,CURR01068,3.0,1.8,2.42,1.0,1.0,10.0,3,2.9,LOW,0.323,58,2026-07-01T00:00:00
RISK01069,CURR01069,1.31,1.0,5.21,1.0,1.0,10.0,1,2.8,LOW,0.286,55,2026-07-01T00:00:00
RISK01070,CURR01070,7.2,3.68,6.87,1.0,1.94,10.0,1,4.81,MEDIUM,0.613,193,2026-07-01T00:00:00
RISK01071,CURR01071,1.0,1.09,5.56,1.25,1.0,10.0,1,2.86,LOW,0.408,77,2026-07-01T00:00:00
RISK01072,CURR01072,7.34,4.66,1.1,1.0,2.31,9.38,3,4.01,MEDIUM,0.524,161,2026-07-01T00:00:00
RISK01073,CURR01073,2.04,1.97,4.79,1.0,3.51,10.0,1,3.26,MEDIUM,0.389,64,2026-07-01T00:00:00
RISK01074,CURR01074,2.25,4.6,3.26,1.0,3.58,10.0,1,3.4,MEDIUM,0.421,86,2026-07-01T00:00:00
RISK01075,CURR01075,5.58,5.09,3.18,1.0,3.68,10.0,1,4.13,MEDIUM,0.546,67,2026-07-01T00:00:00
RISK01076,CURR01076,8.14,1.99,1.2,1.0,1.54,10.0,1,3.57,MEDIUM,0.503,71,2026-07-01T00:00:00
RISK01077,CURR01077,3.58,5.06,6.81,1.0,2.82,7.32,1,4.1,MEDIUM,0.514,121,2026-07-01T00:00:00
RISK01078,CURR01078,2.95,2.34,1.0,2.5,3.09,10.0,3,3.12,MEDIUM,0.591,157,2026-07-01T00:00:00
RISK01079,CURR01079,1.0,2.16,6.56,2.5,1.04,10.0,1,3.42,MEDIUM,0.605,219,2026-07-01T00:00:00
RISK01080,CURR01080,1.98,5.61,6.23,1.0,1.22,10.0,3,4.06,MEDIUM,0.451,98,2026-07-01T00:00:00
RISK01081,CURR01081,4.76,7.44,5.43,1.0,3.17,10.0,1,4.72,MEDIUM,0.597,122,2026-07-01T00:00:00
RISK01082,CURR01082,4.4,7.77,4.67,1.0,1.31,10.0,1,4.36,MEDIUM,0.607,175,2026-07-01T00:00:00
RISK01083,CURR01083,7.2,6.16,6.3,1.0,2.11,10.0,1,5.08,HIGH,0.656,98,2026-07-01T00:00:00
RISK01084,CURR01084,2.89,5.05,2.1,1.0,3.42,10.0,3,3.55,MEDIUM,0.421,47,2026-07-01T00:00:00
RISK01085,CURR01085,4.63,5.19,1.0,1.0,1.58,10.0,1,3.31,MEDIUM,0.428,16,2026-07-01T00:00:00
RISK01086,CURR01086,4.39,1.32,6.53,1.0,3.8,10.0,1,4.01,MEDIUM,0.494,65,2026-07-01T00:00:00
RISK01087,CURR01087,7.62,7.02,1.0,1.0,1.19,10.0,1,4.15,MEDIUM,0.567,142,2026-07-01T00:00:00
RISK01088,CURR01088,8.02,1.99,6.57,1.25,3.46,10.0,1,4.85,MEDIUM,0.755,243,2026-07-01T00:00:00
RISK01089,CURR01089,4.63,2.97,1.0,1.0,2.56,10.0,1,3.08,MEDIUM,0.405,88,2026-07-01T00:00:00
RISK01090,CURR01090,7.6,1.0,2.39,1.25,3.84,10.0,1,3.82,MEDIUM,0.64,124,2026-07-01T00:00:00
RISK01091,CURR01091,6.44,1.2,6.18,1.0,1.5,10.0,1,4.1,MEDIUM,0.517,112,2026-07-01T00:00:00
RISK01092,CURR01092,2.99,1.61,2.09,1.0,1.28,10.0,1,2.64,LOW,0.322,53,2026-07-01T00:00:00
RISK01093,CURR01093,1.81,7.76,2.94,1.0,3.26,10.0,3,3.89,MEDIUM,0.453,95,2026-07-01T00:00:00
RISK01094,CURR01094,4.61,1.0,1.0,2.5,1.0,10.0,1,2.85,LOW,0.55,131,2026-07-01T00:00:00
RISK01095,CURR01095,4.33,7.19,3.19,1.0,1.0,1.0,3,3.23,MEDIUM,0.444,53,2026-07-01T00:00:00
RISK01096,CURR01096,6.99,7.27,1.0,1.25,1.67,10.0,1,4.14,MEDIUM,0.676,127,2026-07-01T00:00:00
RISK01097,CURR01097,4.86,1.53,6.7,1.25,3.22,10.0,1,4.15,MEDIUM,0.632,114,2026-07-01T00:00:00
RISK01098,CURR01098,7.27,6.91,1.0,1.25,1.97,10.0,1,4.17,MEDIUM,0.698,187,2026-07-01T00:00:00
RISK01099,CURR01099,4.03,4.3,1.85,1.0,3.67,10.0,1,3.44,MEDIUM,0.451,18,2026-07-01T00:00:00
RISK01100,CURR01100,7.35,3.94,5.88,1.0,1.0,10.0,1,4.59,MEDIUM,0.65,168,2026-07-01T00:00:00
RISK01101,CURR01101,5.46,7.28,4.82,1.0,1.44,10.0,1,4.54,MEDIUM,0.577,91,2026-07-01T00:00:00
RISK01102,CURR01102,4.76,2.66,6.01,1.0,3.61,10.0,1,4.16,MEDIUM,0.519,83,2026-07-01T00:00:00
RISK01103,CURR01103,3.07,2.95,6.76,1.0,2.32,10.0,1,3.89,MEDIUM,0.473,90,2026-07-01T00:00:00
RISK01104,CURR01104,3.05,1.0,1.62,2.5,3.7,10.0,1,2.93,LOW,0.574,142,2026-07-01T00:00:00
RISK01105,CURR01105,4.93,7.85,3.4,1.25,3.52,10.0,1,4.48,MEDIUM,0.702,94,2026-07-01T00:00:00
RISK01106,CURR01106,6.84,6.33,6.06,1.0,1.0,10.0,1,4.88,MEDIUM,0.616,77,2026-07-01T00:00:00
RISK01107,CURR01107,1.0,4.3,4.1,1.0,2.4,9.57,1,3.11,MEDIUM,0.347,36,2026-07-01T00:00:00
RISK01108,CURR01108,6.69,3.91,6.78,1.0,1.0,7.2,1,4.35,MEDIUM,0.564,102,2026-07-01T00:00:00
RISK01109,CURR01109,3.81,2.48,1.0,1.0,2.9,10.0,1,2.87,LOW,0.364,22,2026-07-01T00:00:00
RISK01110,CURR01110,2.47,5.59,1.31,1.0,1.32,10.0,1,2.98,LOW,0.372,86,2026-07-01T00:00:00
RISK01111,CURR01111,2.41,5.54,1.0,1.0,3.02,10.0,1,3.06,MEDIUM,0.442,63,2026-07-01T00:00:00
RISK01112,CURR01112,2.56,2.77,4.4,1.0,2.38,10.0,1,3.3,MEDIUM,0.408,61,2026-07-01T00:00:00
RISK01113,CURR01113,4.27,2.55,3.69,1.0,1.98,10.0,1,3.42,MEDIUM,0.43,44,2026-07-01T00:00:00
RISK01114,CURR01114,1.38,4.78,4.1,1.0,1.1,10.0,1,3.17,MEDIUM,0.374,43,2026-07-01T00:00:00
RISK01115,CURR01115,3.28,5.48,2.0,1.0,1.0,10.0,1,3.23,MEDIUM,0.458,66,2026-07-01T00:00:00
RISK01116,CURR01116,7.83,7.19,4.2,1.0,1.56,10.0,1,4.89,MEDIUM,0.649,190,2026-07-01T00:00:00
RISK01117,CURR01117,1.3,4.42,1.0,1.0,2.13,10.0,1,2.59,LOW,0.296,23,2026-07-01T00:00:00
RISK01118,CURR01118,1.0,5.91,1.47,1.0,3.21,10.0,1,2.95,LOW,0.321,49,2026-07-01T00:00:00
RISK01119,CURR01119,7.51,3.58,1.0,1.0,2.68,10.0,3,3.96,MEDIUM,0.514,29,2026-07-01T00:00:00
RISK01120,CURR01120,3.65,6.99,5.94,2.5,1.53,10.0,1,4.59,MEDIUM,0.786,251,2026-07-01T00:00:00
RISK01121,CURR01121,4.82,1.0,5.18,1.0,1.23,10.0,1,3.52,MEDIUM,0.433,16,2026-07-01T00:00:00
RISK01122,CURR01122,5.04,3.38,1.09,1.0,1.0,10.0,1,3.08,MEDIUM,0.392,93,2026-07-01T00:00:00
RISK01123,CURR01123,1.69,6.57,4.87,1.0,3.01,10.0,1,3.85,MEDIUM,0.456,57,2026-07-01T00:00:00
RISK01124,CURR01124,4.73,8.0,1.85,1.0,2.24,10.0,1,3.99,MEDIUM,0.531,61,2026-07-01T00:00:00
RISK01125,CURR01125,5.82,2.85,5.63,1.0,2.63,7.58,1,3.99,MEDIUM,0.586,148,2026-07-01T00:00:00
RISK01126,CURR01126,8.78,1.0,5.12,1.0,1.98,10.0,1,4.38,MEDIUM,0.582,179,2026-07-01T00:00:00
RISK01127,CURR01127,1.0,1.14,3.1,1.0,3.22,9.55,1,2.52,LOW,0.284,53,2026-07-01T00:00:00
RISK01128,CURR01128,7.72,2.88,1.77,1.0,1.0,5.0,1,3.18,MEDIUM,0.465,45,2026-07-01T00:00:00
RISK01129,CURR01129,8.11,7.28,1.56,1.0,2.29,10.0,1,4.51,MEDIUM,0.678,108,2026-07-01T00:00:00
RISK01130,CURR01130,5.31,4.5,1.36,1.25,2.39,10.0,1,3.54,MEDIUM,0.6,127,2026-07-01T00:00:00
RISK01131,CURR01131,2.85,1.43,2.26,1.0,1.61,7.8,1,2.43,LOW,0.309,55,2026-07-01T00:00:00
RISK01132,CURR01132,8.18,5.09,4.5,1.0,1.43,10.0,1,4.69,MEDIUM,0.646,198,2026-07-01T00:00:00
RISK01133,CURR01133,5.1,1.71,6.91,1.0,1.0,10.0,1,4.01,MEDIUM,0.488,131,2026-07-01T00:00:00
RISK01134,CURR01134,4.78,7.4,1.86,1.0,1.0,8.97,1,3.69,MEDIUM,0.475,99,2026-07-01T00:00:00
RISK01135,CURR01135,6.95,1.0,1.57,1.0,2.43,10.0,1,3.35,MEDIUM,0.451,37,2026-07-01T00:00:00
RISK01136,CURR01136,7.89,4.47,5.76,1.0,1.24,10.0,1,4.77,MEDIUM,0.62,146,2026-07-01T00:00:00
RISK01137,CURR01137,8.0,6.03,1.26,1.0,1.28,10.0,3,4.33,MEDIUM,0.569,39,2026-07-01T00:00:00
RISK01138,CURR01138,6.38,3.1,1.0,1.0,1.0,9.1,1,3.2,MEDIUM,0.412,48,2026-07-01T00:00:00
RISK01139,CURR01139,3.66,7.49,4.46,1.0,1.08,8.88,1,3.99,MEDIUM,0.499,80,2026-07-01T00:00:00
RISK01140,CURR01140,8.74,2.2,3.56,1.25,3.47,10.0,1,4.42,MEDIUM,0.723,104,2026-07-01T00:00:00
RISK01141,CURR01141,6.88,1.0,6.64,1.0,1.34,10.0,1,4.24,MEDIUM,0.535,142,2026-07-01T00:00:00
RISK01142,CURR01142,8.4,1.1,4.79,1.0,3.14,10.0,1,4.37,MEDIUM,0.585,103,2026-07-01T00:00:00
RISK01143,CURR01143,1.0,6.06,5.91,1.0,1.0,10.0,1,3.64,MEDIUM,0.399,37,2026-07-01T00:00:00
RISK01144,CURR01144,7.99,4.78,5.89,1.0,1.0,10.0,1,4.84,MEDIUM,0.63,144,2026-07-01T00:00:00
RISK01145,CURR01145,3.41,4.3,6.22,1.0,1.0,10.0,1,3.92,MEDIUM,0.461,53,2026-07-01T00:00:00
RISK01146,CURR01146,8.65,3.73,4.53,1.0,1.55,10.0,3,4.8,MEDIUM,0.624,72,2026-07-01T00:00:00
RISK01147,CURR01147,7.13,5.42,6.93,1.0,2.69,10.0,1,5.14,HIGH,0.66,168,2026-07-01T00:00:00
RISK01148,CURR01148,7.33,2.06,6.44,1.0,1.0,9.7,3,4.58,MEDIUM,0.547,174,2026-07-01T00:00:00
RISK01149,CURR01149,1.0,7.84,5.56,1.0,2.19,10.0,1,3.96,MEDIUM,0.453,113,2026-07-01T00:00:00
RISK01150,CURR01150,6.05,6.42,5.9,1.0,3.73,10.0,1,4.98,MEDIUM,0.639,92,2026-07-01T00:00:00
RISK01151,CURR01151,5.82,6.34,5.7,1.0,1.25,10.0,1,4.63,MEDIUM,0.589,85,2026-07-01T00:00:00
RISK01152,CURR01152,2.21,6.55,2.42,2.5,3.28,8.75,1,3.59,MEDIUM,0.671,165,2026-07-01T00:00:00
RISK01153,CURR01153,2.61,7.81,3.46,1.0,1.0,10.0,1,3.74,MEDIUM,0.447,33,2026-07-01T00:00:00
RISK01154,CURR01154,5.34,4.96,2.03,1.25,3.14,8.53,1,3.67,MEDIUM,0.613,99,2026-07-01T00:00:00
RISK01155,CURR01155,1.0,7.48,5.65,1.0,1.0,10.0,1,3.8,MEDIUM,0.411,58,2026-07-01T00:00:00
RISK01156,CURR01156,5.89,7.93,5.3,2.5,2.28,10.0,1,5.13,HIGH,0.886,272,2026-07-01T00:00:00
RISK01157,CURR01157,6.48,7.49,4.66,1.0,1.71,10.0,1,4.77,MEDIUM,0.621,37,2026-07-01T00:00:00
RISK01158,CURR01158,1.0,2.83,5.82,1.0,3.37,10.0,1,3.38,MEDIUM,0.369,62,2026-07-01T00:00:00
RISK01159,CURR01159,2.74,7.45,2.35,1.0,1.8,10.0,1,3.57,MEDIUM,0.507,67,2026-07-01T00:00:00
RISK01160,CURR01160,1.77,1.49,3.32,1.0,2.11,10.0,1,2.7,LOW,0.313,38,2026-07-01T00:00:00
RISK01161,CURR01161,7.06,7.94,1.81,1.0,1.18,10.0,1,4.33,MEDIUM,0.594,191,2026-07-01T00:00:00
RISK01162,CURR01162,5.07,2.08,2.58,1.0,2.96,10.0,1,3.39,MEDIUM,0.44,24,2026-07-01T00:00:00
RISK01163,CURR01163,8.92,7.78,5.48,1.0,3.92,8.75,3,5.76,HIGH,0.751,185,2026-07-01T00:00:00
RISK01164,CURR01164,7.98,1.0,1.42,1.0,1.83,10.0,1,3.46,MEDIUM,0.461,42,2026-07-01T00:00:00
RISK01165,CURR01165,1.0,2.57,4.65,1.25,3.43,8.75,1,3.02,MEDIUM,0.438,94,2026-07-01T00:00:00
RISK01166,CURR01166,3.33,2.14,1.64,2.5,2.67,10.0,1,3.06,MEDIUM,0.608,149,2026-07-01T00:00:00
RISK01167,CURR01167,4.83,1.0,1.0,1.0,1.0,10.0,1,2.67,LOW,0.315,88,2026-07-01T00:00:00
RISK01168,CURR01168,1.0,3.94,6.55,1.25,1.43,10.0,1,3.53,MEDIUM,0.516,126,2026-07-01T00:00:00
RISK01169,CURR01169,7.04,6.25,1.33,1.0,1.07,10.0,1,3.97,MEDIUM,0.537,91,2026-07-01T00:00:00
RISK01170,CURR01170,6.08,3.98,1.62,2.5,1.63,10.0,1,3.78,MEDIUM,0.723,243,2026-07-01T00:00:00
RISK01171,CURR01171,4.27,1.0,3.04,1.0,3.05,10.0,3,3.37,MEDIUM,0.398,40,2026-07-01T00:00:00
RISK01172,CURR01172,2.03,7.01,2.25,1.25,2.73,10.0,1,3.47,MEDIUM,0.546,115,2026-07-01T00:00:00
RISK01173,CURR01173,6.38,1.13,2.98,1.0,1.0,10.0,3,3.59,MEDIUM,0.451,52,2026-07-01T00:00:00
RISK01174,CURR01174,6.33,2.42,2.12,1.0,3.32,10.0,1,3.64,MEDIUM,0.55,57,2026-07-01T00:00:00
RISK01175,CURR01175,4.07,2.87,6.22,1.0,2.15,10.0,3,4.15,MEDIUM,0.487,102,2026-07-01T00:00:00
RISK01176,CURR01176,8.93,2.84,5.1,1.25,2.66,10.0,1,4.79,MEDIUM,0.769,232,2026-07-01T00:00:00
RISK01177,CURR01177,5.95,3.92,2.79,2.5,1.18,6.58,1,3.59,MEDIUM,0.716,207,2026-07-01T00:00:00
RISK01178,CURR01178,3.52,1.52,6.68,1.0,2.23,10.0,1,3.74,MEDIUM,0.444,57,2026-07-01T00:00:00
RISK01179,CURR01179,1.96,1.92,1.0,1.0,1.0,10.0,3,2.43,LOW,0.261,25,2026-07-01T00:00:00
RISK01180,CURR01180,2.1,3.66,2.1,1.0,3.08,9.0,3,3.05,MEDIUM,0.351,48,2026-07-01T00:00:00
RISK01181,CURR01181,3.45,1.2,1.01,1.0,1.41,10.0,3,2.66,LOW,0.309,61,2026-07-01T00:00:00
RISK01182,CURR01182,1.79,2.22,4.21,1.0,2.43,8.03,1,2.83,LOW,0.34,76,2026-07-01T00:00:00
RISK01183,CURR01183,1.78,1.0,1.82,1.0,2.65,10.0,1,2.39,LOW,0.35,55,2026-07-01T00:00:00
RISK01184,CURR01184,2.02,1.0,3.49,2.5,3.32,8.33,1,2.89,LOW,0.569,182,2026-07-01T00:00:00
RISK01185,CURR01185,4.69,1.13,1.0,1.0,3.04,9.1,1,2.77,LOW,0.362,30,2026-07-01T00:00:00
RISK01186,CURR01186,1.0,2.53,2.69,1.0,1.0,10.0,1,2.47,LOW,0.257,23,2026-07-01T00:00:00
RISK01187,CURR01187,2.74,6.64,1.49,1.0,1.0,10.0,1,3.19,MEDIUM,0.392,54,2026-07-01T00:00:00
RISK01188,CURR01188,1.16,7.04,1.0,1.0,1.0,8.33,1,2.67,LOW,0.297,71,2026-07-01T00:00:00
RISK01189,CURR01189,8.03,4.96,4.76,1.0,2.45,9.6,1,4.76,MEDIUM,0.631,64,2026-07-01T00:00:00
RISK01190,CURR01190,7.5,7.38,2.1,1.0,2.55,10.0,1,4.53,MEDIUM,0.613,40,2026-07-01T00:00:00
RISK01191,CURR01191,3.51,5.35,4.71,1.25,2.05,10.0,1,3.94,MEDIUM,0.606,136,2026-07-01T00:00:00
RISK01192,CURR01192,9.0,6.35,3.09,1.0,1.0,7.98,1,4.52,MEDIUM,0.627,204,2026-07-01T00:00:00
RISK01193,CURR01193,1.0,7.45,4.69,1.0,2.15,10.0,3,3.92,MEDIUM,0.406,48,2026-07-01T00:00:00
RISK01194,CURR01194,4.12,4.51,1.0,1.0,3.26,10.0,1,3.28,MEDIUM,0.479,77,2026-07-01T00:00:00
RISK01195,CURR01195,1.0,5.99,4.53,1.0,3.49,10.0,1,3.6,MEDIUM,0.487,80,2026-07-01T00:00:00
RISK01196,CURR01196,6.29,1.92,6.85,1.0,3.24,10.0,1,4.49,MEDIUM,0.575,174,2026-07-01T00:00:00
RISK01197,CURR01197,8.15,1.83,1.0,1.0,1.32,4.04,1,2.89,LOW,0.457,12,2026-07-01T00:00:00
RISK01198,CURR01198,5.43,5.16,1.15,1.25,1.78,10.0,1,3.56,MEDIUM,0.591,98,2026-07-01T00:00:00
RISK01199,CURR01199,3.79,1.0,2.71,1.0,1.0,2.77,1,2.08,LOW,0.287,74,2026-07-01T00:00:00
RISK01200,CURR01200,1.66,7.33,1.0,1.0,3.23,10.0,3,3.4,MEDIUM,0.38,90,2026-07-01T00:00:00
RISK01201,CURR01201,5.01,3.55,4.9,1.0,3.17,10.0,1,4.08,MEDIUM,0.519,48,2026-07-01T00:00:00
RISK01202,CURR01202,1.0,1.0,3.77,1.0,3.7,9.03,1,2.63,LOW,0.28,39,2026-07-01T00:00:00
RISK01203,CURR01203,1.56,2.68,4.57,1.0,2.74,10.0,1,3.15,MEDIUM,0.369,35,2026-07-01T00:00:00
RISK01204,CURR01204,1.0,4.34,2.41,1.0,1.0,10.0,1,2.68,LOW,0.307,14,2026-07-01T00:00:00
RISK01205,CURR01205,5.7,1.0,1.65,1.0,3.64,10.0,1,3.23,MEDIUM,0.425,110,2026-07-01T00:00:00
